Unterramsern,603400,218700
Lüsslingen-Nennigkofen,604800,226600
Buchegg,602800,220400
Bättwil,605400,259900
Büren (SO),617500,255400
Dornach,613300,258800
Gempen,616600,258300
Hochwald,615200,256200
Hofstetten-Flüh,605800,258300
Metzerlen-Mariastein,602000,257300
Nuglar-St. Pantaleon,619200,257900
Rodersdorf,601400,258900
Seewen,616600,253700
Witterswil,606300,259400
Hauenstein-Ifenthal,631500,247100
Kienberg,639800,254400
Lostorf,638400,248200
Niedergösgen,641700,247000
Obergösgen,638800,246100
Rohr (SO),639000,251100
Stüsslingen,640100,249100
Trimbach,635000,245900
Winznau,637400,246100
Wisen (SO),633800,249200
Erlinsbach (SO),642900,249700
Aeschi (SO),617000,225500
Biberist,609100,225700
Bolken,617000,226700
Deitingen,613800,229300
Derendingen,611200,227200
Etziken,615800,226200
Gerlafingen,610100,224400
Halten,612500,224300
Horriwil,614100,225600
Hüniken,614900,226000
Kriegstetten,612000,225000
Lohn-Ammannsegg,606500,224300
Luterbach,611200,229400
Obergerlafingen,611100,223500
Oekingen,612600,225400
Recherswil,611900,223400
Subingen,613500,227300
Zuchwil,608300,227900
Drei Höfe,614900,222900
Balm bei Günsberg,609100,233600
Bellach,604000,229000
Bettlach,598900,228000
Feldbrunnen-St. Niklaus,608900,230000
Flumenthal,612200,231700
Grenchen,596700,226900
Günsberg,610500,234100
Hubersdorf,611400,232900
Kammersrohr,611700,233700
Langendorf,605800,230100
Lommiswil,602500,230300
Oberdorf (SO),604900,231000
Riedholz,609600,230900
Rüttenen,607000,231100
Selzach,601100,228300
Boningen,631600,239800
Däniken,641100,245100
Dulliken,638300,244300
Eppenberg-Wöschnau,644200,247400
Fulenbach,630000,236100
Gretzenbach,642200,245300
Gunzgen,629500,240600
Hägendorf,630500,242800
Kappel (SO),631000,241500
Olten,634700,244700
Rickenbach (SO),631500,243500
Schönenwerd,642800,246900
Starrkirch-Wil,636800,244700
Walterswil (SO),639500,241600
Wangen bei Olten,632500,243900
Solothurn,606900,228800
Bärschwil,602600,247900
Beinwil (SO),611200,245700
Breitenbach,607900,250700
Büsserach,607600,248900
Erschwil,607800,246800
Fehren,610600,249500
Grindel,604800,247800
Himmelried,612000,252300
Kleinlützel,598400,252800
Meltingen,611400,248600
Nunningen,613600,249200
Zullwil,612200,248900
Basel,611300,267600
Bettingen,617100,268900
Riehen,615300,269500
Aesch (BL),611900,257500
Allschwil,607300,266700
Arlesheim,613700,260400
Biel-Benken,606700,261800
Binningen,610000,265200
Birsfelden,613900,266900
Bottmingen,610100,263600
Ettingen,608000,258900
Münchenstein,613400,262500
Muttenz,615100,264300
Oberwil (BL),608900,262600
Pfeffingen,611300,256500
Reinach (BL),611400,260300
Schönenbuch,604700,265200
Therwil,608700,260900
Blauen,606100,255500
Brislach,607900,251900
Burg im Leimental,600200,256300
Dittingen,604500,254400
